dgp,beta,tau,n,ate,beta_ov,e_inv_p,e_inv_q,overlap_mass,pop_kish_frac,zero_arm_rate,kish1_realized,kish0_realized,ht_bias,ht_sd,ht_rmse,ht_estimable_rate,ht_cover_cond,ht_cover_uncond,hajek_bias,hajek_sd,hajek_rmse,hajek_estimable_rate,hajek_cover_cond,hajek_cover_uncond,trunc_bias,trunc_sd,trunc_rmse,trunc_estimable_rate,trunc_cover_cond,trunc_cover_uncond,aipw_oracle_bias,aipw_oracle_sd,aipw_oracle_rmse,aipw_oracle_estimable_rate,aipw_oracle_cover_cond,aipw_oracle_cover_uncond,or_oracle_bias,or_oracle_sd,or_oracle_rmse,or_oracle_estimable_rate,or_oracle_cover_cond,or_oracle_cover_uncond,overlap_bias,overlap_sd,overlap_rmse,overlap_estimable_rate,overlap_cover_cond,overlap_cover_uncond
normal,const,1.0,125,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.39054618609538166,0.39257048576875275,-0.008561489948341942,0.3178157938063817,0.3175337158569687,1.0,0.94,0.94,0.02452233838462354,0.32045568348193043,0.32099292911687555,1.0,0.92,0.92,0.02452255752181597,0.32045548550140024,0.320992748702956,1.0,0.92,0.92,0.0004555414176927053,0.21385883474440173,0.2135918296967863,1.0,0.935,0.935,0.0,0.0,0.0,1.0,1.0,1.0,0.02093845006682174,0.25664683418179407,0.25717960104370496,1.0,0.9325,0.9325
normal,const,1.0,250,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.38979349622602655,0.3829264857022922,-0.005963240479406306,0.2217048549729683,0.22150783360595552,1.0,0.9325,0.9325,0.005487433051935362,0.243039200620705,0.24279722985910462,1.0,0.92,0.92,0.0054876048148182945,0.2430390257706252,0.24279705915438804,1.0,0.92,0.92,-0.002591648920231655,0.14555971542754137,0.14540075076348194,1.0,0.945,0.945,0.0,0.0,0.0,1.0,1.0,1.0,0.00488653617952455,0.18629665049218336,0.18612778974532257,1.0,0.9525,0.9525
normal,const,1.0,500,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.3842409370529813,0.3836076807945938,-0.00504364013831122,0.15695228532369393,0.1568370910355844,1.0,0.95,0.95,0.003747829859073567,0.16354502051217626,0.16338345243213862,1.0,0.9525,0.9525,0.003747923613844912,0.16354493645182394,0.16338337064967404,1.0,0.9525,0.9525,-0.001935600718758953,0.11299037391320503,0.11286564617143574,1.0,0.9225,0.9225,0.0,0.0,0.0,1.0,1.0,1.0,-0.0033766661855577735,0.13223040845489342,0.1321081776135613,1.0,0.935,0.935
normal,const,1.0,1000,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.3790557803777759,0.3827037257232948,0.0003554264647196989,0.10444338679230036,0.10431335638357281,1.0,0.9575,0.9575,0.005572027110772882,0.10985372585727766,0.1098577214770873,1.0,0.9575,0.9575,0.005572043233788655,0.10985375011014331,0.10985774648620764,1.0,0.9575,0.9575,0.0008502675119223813,0.06911683276634659,0.0690356189590839,1.0,0.955,0.955,0.0,0.0,0.0,1.0,1.0,1.0,0.0050673658880997716,0.08591005733979827,0.08595210761983085,1.0,0.9525,0.9525
normal,const,1.0,2000,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.37964079450238924,0.37895779569772975,-0.006142883393420347,0.07434341471591749,0.07450410035514152,1.0,0.955,0.955,-0.006358622068038841,0.08043643279349096,0.08058707555088833,1.0,0.95,0.95,-0.0063585876155776355,0.08043641539750059,0.08058705551240379,1.0,0.95,0.95,-0.003191893356473409,0.05204078111165028,0.05207360631512877,1.0,0.945,0.945,0.0,0.0,0.0,1.0,1.0,1.0,-0.005993920085991204,0.06419937054301482,0.06439862077848617,1.0,0.95,0.95
normal,const,1.0,4000,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.3770888440212525,0.37839883287523746,-0.001138001295168699,0.05802961138643235,0.05796820037843174,1.0,0.94,0.94,-0.001206177959564984,0.06075644150258124,0.06069243516589671,1.0,0.9425,0.9425,-0.0012061281322900657,0.06075642182311718,0.060692414524701345,1.0,0.9425,0.9425,0.0031774449048509136,0.03785955844102921,0.03794547345942194,1.0,0.935,0.935,0.0,0.0,0.0,1.0,1.0,1.0,0.0005901013521764825,0.04592281247354047,0.04586916898442902,1.0,0.945,0.945
normal,const,1.0,8000,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.37820254604423176,0.37801225146585976,0.0023577030506509956,0.0365664925668459,0.036596780888073235,1.0,0.9575,0.9575,0.0034193842363195535,0.03998888226160145,0.040084973697465276,1.0,0.975,0.975,0.0034194209545817945,0.039988878331627044,0.040084972918922504,1.0,0.975,0.975,0.0015439120280622384,0.024243047995190885,0.02426189866863847,1.0,0.9725,0.9725,0.0,0.0,0.0,1.0,1.0,1.0,0.0020559730424679376,0.0302979752945882,0.03032984361706227,1.0,0.9675,0.9675
normal,const,1.0,16000,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.3776145057488971,0.3775834230981936,0.0007624563452194172,0.024609245156661415,0.024590287706553516,1.0,0.9825,0.9825,0.001625409807384326,0.027724921243946894,0.027737907939858066,1.0,0.98,0.98,0.001625440073937474,0.0277249289953924,0.02773791744190636,1.0,0.98,0.98,-0.0004458318141226861,0.017003926133129607,0.016988508945388923,1.0,0.9525,0.9525,0.0,0.0,0.0,1.0,1.0,1.0,0.0014611266137898055,0.021870660124266545,0.02189211846343404,1.0,0.965,0.965
normal,const,1.0,32000,1.0,1.0,2.6485460602494477,2.6489982568822112,0.2066313461904344,0.37750119215894423,0.0,0.37777410187437654,0.3771210176591795,0.0006940826883621179,0.01921608270403554,0.01920459425971809,1.0,0.96,0.96,0.0009938060054212117,0.020410063760058352,0.02040874631890294,1.0,0.955,0.955,0.0009938383058930194,0.020410071407188788,0.02040875552030768,1.0,0.955,0.955,0.0007641131958527844,0.012716086168064343,0.012723146988506013,1.0,0.95,0.95,0.0,0.0,0.0,1.0,1.0,1.0,0.000957880367993095,0.01590082581846751,0.0159097990513506,1.0,0.9575,0.9575
normal,const,0.6,125,1.0,1.0,5.0116697480865415,5.0039062562443055,0.16763385516424884,0.19953429700386793,0.0,0.29204032494688625,0.29697707334375084,-0.020589116143981775,0.5734736306870244,0.5731262834526214,1.0,0.895,0.895,0.0733836562104994,0.47489917523538466,0.47994850199940325,1.0,0.8525,0.8525,0.0755589783753034,0.46744794273197726,0.4729381243139176,1.0,0.8575,0.8575,0.013792653950927547,0.27310575354507494,0.2731126563176534,1.0,0.965,0.965,0.0,0.0,0.0,1.0,1.0,1.0,0.033130557416671536,0.25103700256747924,0.2529024743871811,1.0,0.9575,0.9575
